Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2006930001585,339130,729750,-2.989242,56.456011,Tayside,Slight,1,1,14/04/2006,Friday,00:15,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001591,343090,731680,-2.925419,56.473843,Tayside,Slight,2,1,13/04/2006,Thursday,13:25,Dundee City,Dundee City,A,972,Roundabout,40,Roundabout,Give way or uncontrolled,B,959,Control by other authorised person,Central refuge,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001609,335970,731190,-3.040859,56.468527,Tayside,Slight,2,1,17/04/2006,Monday,20:10,Dundee City,Dundee City,C,231,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001622,339310,730610,-2.986522,56.463759,Tayside,Slight,3,2,19/04/2006,Wednesday,16:05,Dundee City,Dundee City,A,923,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001624,342960,731410,-2.92747,56.471402,Tayside,Slight,2,1,20/04/2006,Thursday,19:40,Dundee City,Dundee City,A,92,Dual carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001625,340190,733650,-2.972941,56.49118,Tayside,Slight,1,1,18/04/2006,Tuesday,22:05,Dundee City,Dundee City,Unclassified,0,Roundabout,30,Roundabout,Give way or uncontrolled,C,236,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001634,345820,731000,-2.880967,56.468057,Tayside,Slight,3,1,20/04/2006,Thursday,13:30,Dundee City,Dundee City,C,212,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001688,338760,733660,-2.996164,56.491085,Tayside,Slight,1,1,25/04/2006,Tuesday,08:45,Dundee City,Dundee City,B,960,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,Roadworks,None,Urban,Yes,
2006930001699,340570,730100,-2.96596,56.459339,Tayside,Slight,3,1,01/05/2006,Monday,11:40,Dundee City,Dundee City,A,923,Dual carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2006930001734,340490,730450,-2.967338,56.462472,Tayside,Slight,1,1,22/04/2006,Saturday,11:45,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,Crossroads,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
