Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2016930000113,342831,731386,-2.929559,56.471171,Tayside,Slight,2,1,29/03/2016,Tuesday,09:00,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000124,343152,731684,-2.924415,56.473887,Tayside,Slight,2,1,10/04/2016,Sunday,18:05,Dundee City,Dundee City,A,92,Single carriageway,30,Roundabout,Give way or uncontrolled,C,223,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000126,338010,731515,-3.007832,56.47172,Tayside,Slight,2,1,19/04/2016,Tuesday,08:50,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000127,342769,733969,-2.931133,56.494367,Tayside,Serious,2,1,20/04/2016,Wednesday,23:00,Dundee City,Dundee City,C,211,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,Data missing or out of range,0,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000129,338780,730833,-2.995175,56.465694,Tayside,Slight,1,1,19/04/2016,Tuesday,13:30,Dundee City,Dundee City,A,923,Dual carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000133,337139,732642,-3.02224,56.481728,Tayside,Slight,2,1,12/04/2016,Tuesday,17:45,Dundee City,Dundee City,Unclassified,0,Single carriageway,20,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000136,340482,730448,-2.967468,56.462454,Tayside,Slight,1,1,20/04/2016,Wednesday,13:23,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000165,339580,730198,-2.982046,56.460093,Tayside,Serious,2,1,05/05/2016,Thursday,17:25,Dundee City,Dundee City,C,253,Roundabout,30,Roundabout,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000235,338505,731416,-2.999775,56.470895,Tayside,Slight,3,2,21/02/2016,Sunday,12:40,Dundee City,Dundee City,C,201,Single carriageway,30,Crossroads,Give way or uncontrolled,C,233,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
2016930000256,342543,733634,-2.93473,56.49133,Tayside,Slight,2,1,13/05/2016,Friday,15:00,Dundee City,Dundee City,Unclassified,0,Single carriageway,30,T or staggered junction,Give way or uncontrolled,Unclassified,0,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,
